Date,SP500,DJI
2001-08-01,1133.5799560546875,9949.75
2001-09-01,1040.93994140625,8847.5595703125
2001-10-01,1059.780029296875,9075.1396484375
2001-11-01,1139.449951171875,9851.5595703125
2001-12-01,1148.0799560546875,10021.5703125
2002-01-01,1130.199951171875,9920.0
2002-02-01,1106.72998046875,10106.1298828125
2002-03-01,1147.3900146484375,10403.9404296875
2002-04-01,1076.9200439453125,9946.2197265625
2002-05-01,1067.1400146484375,9925.25
2002-06-01,989.8200073242188,9243.259765625
2002-07-01,911.6199951171875,8736.58984375
2002-08-01,916.0700073242188,8663.5
2002-09-01,815.280029296875,7591.93017578125
2002-10-01,885.760009765625,8397.0302734375
2002-11-01,936.3099975585938,8896.08984375
2002-12-01,879.8200073242188,8341.6298828125
2003-01-01,855.7000122070312,8053.81005859375
2003-02-01,841.1500244140625,7891.080078125
2003-03-01,848.1799926757812,7992.1298828125
2003-04-01,916.9199829101562,8480.08984375
2003-05-01,963.5900268554688,8850.259765625
2003-06-01,974.5,8985.4404296875
2003-07-01,990.3099975585938,9233.7998046875
2003-08-01,1008.010009765625,9415.8203125
2003-09-01,995.969970703125,9275.0595703125
2003-10-01,1050.7099609375,9801.1201171875
2003-11-01,1058.199951171875,9782.4599609375
2003-12-01,1111.9200439453125,10453.919921875
2004-01-01,1131.1300048828125,10488.0703125
2004-02-01,1144.93994140625,10583.919921875
2004-03-01,1126.2099609375,10357.7001953125
2004-04-01,1107.300048828125,10225.5703125
2004-05-01,1120.6800537109375,10188.4501953125
2004-06-01,1140.8399658203125,10435.48046875
2004-07-01,1101.719970703125,10139.7099609375
2004-08-01,1104.239990234375,10173.919921875
2004-09-01,1114.5799560546875,10080.26953125
2004-10-01,1130.199951171875,10027.4697265625
2004-11-01,1173.8199462890625,10428.01953125
2004-12-01,1211.9200439453125,10783.009765625
2005-01-01,1181.27001953125,10489.9404296875
2005-02-01,1203.5999755859375,10766.23046875
2005-03-01,1180.5899658203125,10503.759765625
2005-04-01,1156.8499755859375,10192.509765625
2005-05-01,1191.5,10467.48046875
2005-06-01,1191.3299560546875,10274.9697265625
2005-07-01,1234.1800537109375,10640.91015625
2005-08-01,1220.3299560546875,10481.599609375
2005-09-01,1228.81005859375,10568.7001953125
2005-10-01,1207.010009765625,10440.0703125
2005-11-01,1249.47998046875,10805.8701171875
2005-12-01,1248.2900390625,10717.5
